Name,Date,Hour,StolenObject,PlaceDescription,Neighborhood,GeneralDescription,ModusOperandi
Philip Rodriguez,03/05/2022,20:45:40,Bolso,En el centro de la ciudad,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Daniel Smith,06/17/2022,09:27:35,Billetera,En el centro de la ciudad,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Ryan Cook,05/15/2022,21:13:40,Celular,Cerca a la universidad nacional de Colombia,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Mr. Randy Jones,08/02/2022,03:49:11,Computador,En el centro de la ciudad,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Wyatt Bush,02/22/2022,11:08:37,Billetera,En el centro de la ciudad,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Jamie Lee,01/25/2022,12:22:06,Billetera,En el centro de la ciudad,Engativá,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Stanley Maldonado,02/03/2022,13:12:42,Bolso,En el centro de la ciudad,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Kyle Nelson,07/14/2022,08:53:24,Billetera,Cerca a la universidad nacional de Colombia,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Jerome Evans DDS,05/30/2022,12:32:55,Vehiculo,En el centro de la ciudad,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Alan Burton,05/25/2022,06:43:19,Computador,En el centro de la ciudad,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Kyle Matthews,04/29/2022,17:40:22,Bicicleta,Cerca a la universidad nacional de Colombia,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Teresa Olson,03/14/2022,17:04:33,Celular,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Heather Fletcher,06/17/2022,13:30:41,Bolso,Cerca a la universidad nacional de Colombia,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Brandon Martinez,06/12/2022,02:07:47,Bicicleta,Cerca a la universidad nacional de Colombia,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Jillian Dunlap,01/02/2022,05:33:39,Celular,Cerca a la universidad nacional de Colombia,Sabta Fe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Joshua Ray,03/11/2022,02:24:56,Computador,Cerca a la universidad nacional de Colombia,Usme,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Richard Lucas,07/09/2022,08:35:21,Billetera,En el centro de la ciudad,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Kristen Reed,03/07/2022,05:06:28,Papeles,Cerca a la universidad nacional de Colombia,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Ian Lawrence,05/18/2022,10:24:37,Computador,Cerca a la universidad nacional de Colombia,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Joshua Gomez,08/02/2022,20:01:31,Celular,Cerca a la universidad nacional de Colombia,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Jerry Kennedy,06/04/2022,18:03:57,Bolso,En el centro de la ciudad,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Traci Newton,01/28/2022,06:39:46,Computador,En el centro de la ciudad,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Joseph Powell,03/29/2022,22:41:10,Papeles,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Tara Hammond,01/05/2022,13:25:29,Billetera,En el centro de la ciudad,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Dennis Jackson,02/13/2022,13:50:49,Billetera,Cerca a la universidad nacional de Colombia,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Amber Dean,04/05/2022,10:42:26,Billetera,Cerca a la universidad nacional de Colombia,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Jeremy Haynes,05/24/2022,14:21:54,Celular,En el centro de la ciudad,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Cameron Brooks,01/05/2022,15:12:14,Bicicleta,Cerca a la universidad nacional de Colombia,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Kimberly Johnson,05/14/2022,13:03:49,Vehiculo,En el centro de la ciudad,Barrios Unidos,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Deborah Moore PhD,03/31/2022,22:34:50,Vehiculo,En el centro de la ciudad,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Brad Hall,07/04/2022,17:04:28,Bicicleta,Cerca a la universidad nacional de Colombia,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Angelica Marsh,05/27/2022,14:38:27,Vehiculo,En el centro de la ciudad,Ciudad Bolivar,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Daniel Lyons,04/19/2022,10:34:03,Bolso,En el centro de la ciudad,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Hannah Ramos,04/02/2022,09:44:54,Bolso,En el centro de la ciudad,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
William Miller,01/29/2022,20:56:58,Bolso,En el centro de la ciudad,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
John Gibson,06/06/2022,01:15:42,Celular,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Mike Jones,07/26/2022,11:35:46,Billetera,En el centro de la ciudad,Tunjuelito,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Wendy Mccoy,05/31/2022,08:37:19,Celular,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Gabriel Lee,02/26/2022,21:37:30,Computador,En el centro de la ciudad,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Laura Curry,03/12/2022,15:46:23,Celular,Cerca a la universidad nacional de Colombia,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Rodney Khan,07/24/2022,21:18:33,Bolso,Cerca a la universidad nacional de Colombia,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Matthew Osborne,06/04/2022,11:31:26,Computador,Cerca a la universidad nacional de Colombia,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Mrs. Amanda Rodriguez,01/22/2022,01:35:59,Bolso,En el centro de la ciudad,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Jose Phillips,06/14/2022,03:07:35,Bolso,Cerca a la universidad nacional de Colombia,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Jason Huang,04/26/2022,05:17:18,Bolso,En el centro de la ciudad,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Sarah Velasquez,03/16/2022,11:37:10,Bicicleta,En el centro de la ciudad,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Denise Stein,01/21/2022,11:33:10,Celular,En el centro de la ciudad,Bosa,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Scott White,07/21/2022,21:27:06,Bolso,Cerca a la universidad nacional de Colombia,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Cindy Guerra,01/24/2022,05:18:59,Computador,En el centro de la ciudad,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Kristin George,08/01/2022,17:41:28,Vehiculo,En el centro de la ciudad,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
David Gonzalez,02/11/2022,09:07:56,Bolso,En el centro de la ciudad,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Marissa Humphrey,06/13/2022,04:48:05,Billetera,Cerca a la universidad nacional de Colombia,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Kellie Watkins,06/06/2022,22:34:46,Bicicleta,Cerca a la universidad nacional de Colombia,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Charles English,05/23/2022,01:34:24,Bicicleta,Cerca a la universidad nacional de Colombia,Engativá,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Ronald Black,05/09/2022,13:15:48,Bicicleta,En el centro de la ciudad,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Timothy Baldwin,04/24/2022,16:33:14,Computador,Cerca a la universidad nacional de Colombia,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Eric Garcia,07/19/2022,10:50:19,Bicicleta,Cerca a la universidad nacional de Colombia,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Kelsey Ayala,02/17/2022,14:24:52,Papeles,Cerca a la universidad nacional de Colombia,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Derrick Potts,05/24/2022,11:22:45,Bolso,En el centro de la ciudad,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Patrick Clark,07/04/2022,05:09:01,Vehiculo,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Emily Mckenzie,05/09/2022,12:12:45,Celular,En el centro de la ciudad,Barrios Unidos,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
William Miller,02/06/2022,05:50:53,Vehiculo,Cerca a la universidad nacional de Colombia,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
William James,06/09/2022,21:03:53,Computador,Cerca a la universidad nacional de Colombia,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Jenna Walker,07/31/2022,06:02:38,Bicicleta,En el centro de la ciudad,Bosa,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Alexis Cohen,04/11/2022,02:14:30,Computador,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
James Wilkins,07/01/2022,06:51:33,Bicicleta,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Sophia Howard,03/26/2022,02:02:33,Bolso,En el centro de la ciudad,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Ariana Gutierrez,07/06/2022,15:35:30,Computador,Cerca a la universidad nacional de Colombia,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Joyce Hoffman,03/21/2022,18:58:08,Bolso,En el centro de la ciudad,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Christina Stanton,07/12/2022,22:07:24,Papeles,En el centro de la ciudad,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Michael Hampton,01/19/2022,01:41:39,Bolso,En el centro de la ciudad,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Erica Fisher,04/04/2022,16:05:40,Vehiculo,En el centro de la ciudad,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Shannon Sanchez,02/12/2022,11:43:36,Billetera,En el centro de la ciudad,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Patrick Fleming,05/19/2022,22:38:05,Billetera,En el centro de la ciudad,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Shawn Thomas,03/13/2022,10:33:07,Billetera,En el centro de la ciudad,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Kayla Brewer,06/05/2022,15:44:18,Bolso,Cerca a la universidad nacional de Colombia,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Erin Peterson,07/01/2022,14:53:40,Vehiculo,Cerca a la universidad nacional de Colombia,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Daniel Frey,01/31/2022,11:05:46,Celular,En el centro de la ciudad,Tunjuelito,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Jesus Edwards,01/11/2022,21:43:20,Celular,En el centro de la ciudad,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Tyler Johnson,06/26/2022,19:04:06,Computador,Cerca a la universidad nacional de Colombia,Bosa,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
David Wilson,06/08/2022,23:46:35,Bicicleta,Cerca a la universidad nacional de Colombia,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Paul Robertson,07/23/2022,05:25:13,Billetera,En el centro de la ciudad,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Melissa Rice,07/06/2022,22:03:30,Vehiculo,Cerca a la universidad nacional de Colombia,Puente Aranda,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Anthony Thomas,07/15/2022,12:55:19,Bolso,En el centro de la ciudad,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Michelle Tyler,01/06/2022,09:06:51,Vehiculo,En el centro de la ciudad,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Nathan Banks,04/13/2022,04:25:22,Bicicleta,Cerca a la universidad nacional de Colombia,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
James Savage,05/11/2022,20:25:11,Papeles,En el centro de la ciudad,Bosa,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Alexis Lynch,06/25/2022,20:02:26,Celular,En el centro de la ciudad,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Anna Jones,06/30/2022,13:29:03,Vehiculo,En el centro de la ciudad,Kennedy,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Joy Logan,06/14/2022,06:29:17,Computador,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Lisa Brown,01/10/2022,23:27:04,Bicicleta,Cerca a la universidad nacional de Colombia,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Marvin Santana,05/24/2022,14:51:58,Vehiculo,En el centro de la ciudad,Sabta Fe,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Susan Larson,03/24/2022,06:53:02,Bicicleta,En el centro de la ciudad,Puente Aranda,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Melissa Cooper,06/05/2022,02:57:36,Papeles,Cerca a la universidad nacional de Colombia,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Julian Cruz,03/03/2022,05:58:46,Billetera,En el centro de la ciudad,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Tanya Carr,06/12/2022,23:53:20,Computador,Cerca a la universidad nacional de Colombia,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Andrew Pennington,04/12/2022,06:15:50,Papeles,Cerca a la universidad nacional de Colombia,Chapinero,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Thomas Smith,05/08/2022,10:25:23,Vehiculo,Cerca a la universidad nacional de Colombia,Sabta Fe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Max Castillo,07/27/2022,00:47:09,Billetera,Cerca a la universidad nacional de Colombia,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Robert Vargas,04/06/2022,18:28:02,Computador,En el centro de la ciudad,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Jonathan Mcknight,07/31/2022,18:05:31,Celular,Cerca a la universidad nacional de Colombia,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Thomas Bailey,04/12/2022,01:30:27,Bicicleta,Cerca a la universidad nacional de Colombia,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Tricia Jenkins,03/13/2022,14:50:24,Celular,Cerca a la universidad nacional de Colombia,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Angela Benjamin,03/09/2022,17:12:07,Vehiculo,En el centro de la ciudad,Barrios Unidos,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Amanda Lutz,07/12/2022,19:24:38,Papeles,En el centro de la ciudad,Puente Aranda,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Bill Woods,03/17/2022,04:42:57,Bicicleta,Cerca a la universidad nacional de Colombia,Barrios Unidos,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Shawn Foley,02/03/2022,03:13:28,Vehiculo,En el centro de la ciudad,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Mark Mitchell,07/15/2022,19:41:30,Billetera,En el centro de la ciudad,La Candelaria,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Jordan Wells,07/28/2022,11:05:12,Papeles,Cerca a la universidad nacional de Colombia,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Taylor Simpson,04/13/2022,08:59:00,Celular,Cerca a la universidad nacional de Colombia,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Jesse Dixon,07/16/2022,12:25:54,Papeles,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Tanya Carson,02/04/2022,14:45:10,Celular,En el centro de la ciudad,Teusaquillo,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Terry Becker,02/04/2022,02:32:14,Bicicleta,En el centro de la ciudad,Suba,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Timothy Tran,06/11/2022,18:45:20,Papeles,En el centro de la ciudad,Rafael Uribe Uribe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Kyle Gonzalez,05/13/2022,22:51:09,Vehiculo,En el centro de la ciudad,Kennedy,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Leslie Smith,03/31/2022,03:35:30,Billetera,Cerca a la universidad nacional de Colombia,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Michelle Lynch,04/18/2022,03:44:25,Papeles,En el centro de la ciudad,Usme,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Frank White,04/24/2022,10:07:33,Bolso,En el centro de la ciudad,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Randall Payne,03/01/2022,04:39:05,Bicicleta,Cerca a la universidad nacional de Colombia,Bosa,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Joanne Hernandez,06/18/2022,14:20:03,Celular,En el centro de la ciudad,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Caitlin Luna,06/26/2022,16:38:58,Bicicleta,Cerca a la universidad nacional de Colombia,Tunjuelito,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Kelly Contreras,06/27/2022,02:43:45,Celular,Cerca a la universidad nacional de Colombia,Puente Aranda,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Lucas Bishop,07/22/2022,01:45:58,Billetera,Cerca a la universidad nacional de Colombia,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Jason Mcguire,04/18/2022,05:57:42,Billetera,En el centro de la ciudad,Puente Aranda,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Barbara Barnes,07/25/2022,08:12:37,Computador,En el centro de la ciudad,Tunjuelito,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Cassandra Rojas,07/02/2022,13:48:37,Computador,En el centro de la ciudad,Barrios Unidos,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Lauren Austin,03/17/2022,08:03:33,Papeles,En el centro de la ciudad,Fontibón,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Tasha Medina,01/09/2022,02:04:15,Bicicleta,Cerca a la universidad nacional de Colombia,Bosa,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Jennifer Harrington,07/14/2022,12:28:20,Celular,Cerca a la universidad nacional de Colombia,Rafael Uribe Uribe,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Megan Ortega,01/21/2022,13:56:47,Celular,En el centro de la ciudad,Barrios Unidos,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Christopher Branch,04/24/2022,13:23:47,Vehiculo,Cerca a la universidad nacional de Colombia,Los Martires,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
David Bolton,03/28/2022,09:09:06,Papeles,Cerca a la universidad nacional de Colombia,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Daniel Spencer,01/07/2022,09:19:53,Vehiculo,Cerca a la universidad nacional de Colombia,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Norman Lin,05/12/2022,06:37:51,Papeles,En el centro de la ciudad,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Hannah Golden,03/28/2022,01:01:59,Bicicleta,Cerca a la universidad nacional de Colombia,Sumapaz,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Christopher Giles,01/31/2022,02:03:00,Vehiculo,Cerca a la universidad nacional de Colombia,Suba,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Diane Hernandez,04/18/2022,11:20:06,Bicicleta,Cerca a la universidad nacional de Colombia,Chapinero,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Charles Walker,06/05/2022,20:08:55,Billetera,Cerca a la universidad nacional de Colombia,Barrios Unidos,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Calvin Barnes,03/25/2022,22:49:26,Bolso,Cerca a la universidad nacional de Colombia,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Michelle Crawford,03/17/2022,09:33:37,Vehiculo,Cerca a la universidad nacional de Colombia,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Billy Gonzalez,03/01/2022,09:13:49,Celular,Cerca a la universidad nacional de Colombia,Engativá,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Linda Schroeder,02/16/2022,14:33:04,Papeles,Cerca a la universidad nacional de Colombia,Sabta Fe,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Katherine Holmes,03/28/2022,16:17:31,Computador,Cerca a la universidad nacional de Colombia,San Cristobal,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Vincent Sexton,03/21/2022,16:16:28,Billetera,Cerca a la universidad nacional de Colombia,Ciudad Bolivar,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Julia Richardson,04/24/2022,22:43:25,Vehiculo,En el centro de la ciudad,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Lisa Anderson,06/07/2022,00:15:49,Billetera,Cerca a la universidad nacional de Colombia,Tunjuelito,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Michael Higgins,04/17/2022,02:58:14,Billetera,Cerca a la universidad nacional de Colombia,La Candelaria,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Steven Stout,01/29/2022,00:00:50,Bolso,Cerca a la universidad nacional de Colombia,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Kathleen Maynard,06/11/2022,04:43:23,Vehiculo,Cerca a la universidad nacional de Colombia,Usaquen,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
Sheila Osborne,02/20/2022,02:52:30,Vehiculo,Cerca a la universidad nacional de Colombia,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Victoria Jensen,03/02/2022,07:58:26,Billetera,Cerca a la universidad nacional de Colombia,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Beth Morgan,02/09/2022,10:13:19,Computador,Cerca a la universidad nacional de Colombia,Usaquen,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Norman Lindsey,04/25/2022,10:21:37,Billetera,Cerca a la universidad nacional de Colombia,Usaquen,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Keith Davenport,06/27/2022,11:04:04,Celular,En el centro de la ciudad,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
David Jones,07/13/2022,23:37:39,Computador,Cerca a la universidad nacional de Colombia,Los Martires,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Herbert Knapp,04/20/2022,13:20:41,Papeles,Cerca a la universidad nacional de Colombia,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
April Strong,02/13/2022,13:14:48,Billetera,Cerca a la universidad nacional de Colombia,Usaquen,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
William Collier,01/26/2022,14:30:39,Billetera,Cerca a la universidad nacional de Colombia,Teusaquillo,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Asalto A mano Armada
Evan Winters,05/24/2022,09:03:57,Vehiculo,En el centro de la ciudad,Bosa,Iba en transmilenio cuando me baje y no tenia mis elementos,Asalto A mano Armada
Julia Williamson,01/15/2022,20:14:13,Billetera,En el centro de la ciudad,Fontibón,Iba en transmilenio cuando me baje y no tenia mis elementos,Cosquilleo
Lisa Peters,06/10/2022,00:22:50,Celular,En el centro de la ciudad,Sumapaz,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Kelly Blake,03/16/2022,00:52:21,Computador,En el centro de la ciudad,Antonio Narino,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Trevor Fry,03/26/2022,09:55:54,Vehiculo,En el centro de la ciudad,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Cosquilleo
Mike Petty,07/12/2022,12:20:58,Papeles,En el centro de la ciudad,San Cristobal,Estaba caminando cuando se me acercaron y me despojaron de mis elementos,Raponeo
Elaine Prince,03/19/2022,23:22:00,Computador,En el centro de la ciudad,Usme,Iba en transmilenio cuando me baje y no tenia mis elementos,Raponeo
